EventID,IpAddress,IpPort,Log_source,LogonProcessName,LogonType,ProcessId,ProcessName,RestrictedAdminMode,TargetDomainName,TargetLogonID,TargetUserName,TimeCreated
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:55:15.349162 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:46:28.325805 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:45:15.416873 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:45:15.195858 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:45:05.222179 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:45:02.460204 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:45:01.999352 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:45:01.966948 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:45:01.788221 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:45:01.516639 UTC
4624,127.0.0.1,0,NEF-DSK-1,User32 ,2,1764,C:\Windows\System32\svchost.exe,-,NEF-DSK-1,0x22dcef,Coursera,2021-03-10 04:45:01.107246 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:41:42.984817 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:36:28.551874 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:47:17.132953 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:47:17.081390 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:45:02.301115 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:45:02.226368 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:37:21.361653 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:24:39.352207 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:24:36.844288 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:22:20.939902 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:22:16.460619 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:15:32.715498 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:15:32.633046 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:08:57.056850 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:08:56.642598 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:08:56.166408 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 06:00:03.467302 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:31:44.150015 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:31:17.771457 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:31:16.058978 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:31:15.399233 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:31:15.049278 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:31:14.958565 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:30:03.684324 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:19:37.824971 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:19:37.029770 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:15:01.780972 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 09:58:52.400523 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 09:28:23.055536 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 09:28:22.988906 UTC
